# ================================================================================
# Inverse MPM Material Learning - Experiment Results
# Target: E*=450, nu=0.35, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# Tasks: dual-parameter external noisy, dual-parameter clean, single-E clean
# Methods: NN+FD and derivative-free baseline
# ================================================================================

## SECTION 1: Per-Epoch / Per-Search-Step Data
task,method,row_type,epoch_or_iter,loss,E_pred,nu_pred,E_abs_error,nu_abs_error,dL_dE_est,dL_dnu_est,h_mse,s_mse,F_mse,step_time_s,cumulative_time_s,E_true,nu_true,N_particles,N_steps,learn_param,obs_mode,noise_h,notes
DualParam_External_Noisy,NN+FD,epoch,67,8.384415e-08,450.87912,0.3506,0.87912,5.999744e-04,4.509388e-10,-3.772569e-07,,,,0.77633,98.171272,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,68,8.362018e-08,450.844849,0.351306,0.844849,0.001306,3.500702e-10,-1.936183e-07,,,,0.774685,98.945957,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,69,8.355610e-08,450.782318,0.351944,0.782318,0.001944,1.293152e-10,8.935190e-09,,,,0.774081,99.720039,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,70,8.362571e-08,450.734161,0.352492,0.734161,0.002492,-5.977796e-11,2.056479e-07,,,,0.773264,100.493302,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,71,8.379276e-08,450.742889,0.352938,0.742889,0.002938,-2.546123e-10,3.640761e-07,,,,0.770811,101.264113,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,72,8.399436e-08,450.831787,0.353275,0.831787,0.003275,-3.784173e-10,4.916166e-07,,,,0.772918,102.037031,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,73,8.412987e-08,450.989838,0.353503,0.989838,0.003503,-3.623803e-10,5.397636e-07,,,,0.771466,102.808497,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,74,8.420913e-08,451.185089,0.353629,1.185089,0.003629,-2.560050e-10,5.481872e-07,,,,0.771162,103.579658,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,75,8.423255e-08,451.369659,0.353662,1.369659,0.003662,-7.404211e-11,5.219537e-07,,,,0.790753,104.370412,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,76,8.424571e-08,451.490875,0.35361,1.490875,0.00361,1.421832e-10,4.988962e-07,,,,0.779089,105.149501,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,77,8.425431e-08,451.518707,0.353484,1.518707,0.003484,2.880540e-10,4.558972e-07,,,,0.772573,105.922073,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,78,8.420492e-08,451.447937,0.353297,1.447937,0.003297,3.463860e-10,4.161169e-07,,,,0.765709,106.687782,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,79,8.411060e-08,451.295532,0.353059,1.295532,0.003059,3.191758e-10,3.876842e-07,,,,0.770604,107.458387,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,80,8.399557e-08,451.100311,0.352785,1.100311,0.002785,2.004583e-10,3.460352e-07,,,,0.780647,108.239034,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,81,8.387382e-08,450.901428,0.352481,0.901428,0.002481,6.290435e-11,3.376543e-07,,,,0.801599,109.040633,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,82,8.375430e-08,450.733856,0.352156,0.733856,0.002156,-7.252510e-11,3.190556e-07,,,,0.770676,109.811309,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,83,8.367593e-08,450.620453,0.351823,0.620453,0.001823,-1.721610e-10,2.744009e-07,,,,0.787085,110.598394,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,84,8.360875e-08,450.570679,0.351491,0.570679,0.001491,-2.264784e-10,2.166331e-07,,,,0.782532,111.380926,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,85,8.357516e-08,450.576965,0.351175,0.576965,0.001175,-2.146194e-10,1.277572e-07,,,,0.781306,112.162231,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,86,8.353511e-08,450.611664,0.350887,0.611664,8.869708e-04,-1.189164e-10,3.341725e-08,,,,0.770966,112.933197,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,87,8.352488e-08,450.651581,0.350636,0.651581,6.363631e-04,-3.036149e-11,-5.478710e-08,,,,0.778101,113.711298,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,88,8.358244e-08,450.667145,0.35043,0.667145,4.299223e-04,9.201884e-11,-1.339746e-07,,,,0.773092,114.484389,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,89,8.361809e-08,450.649567,0.350271,0.649567,2.714038e-04,1.411671e-10,-1.891631e-07,,,,0.778918,115.263307,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,90,8.364287e-08,450.598572,0.350164,0.598572,1.636386e-04,1.590443e-10,-2.365605e-07,,,,0.7741,116.037407,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,91,8.367667e-08,450.526215,0.350105,0.526215,1.045406e-04,1.245972e-10,-2.484871e-07,,,,0.771049,116.808455,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,92,8.366360e-08,450.450378,0.35009,0.450378,8.981824e-05,6.156142e-11,-2.416693e-07,,,,0.773716,117.582172,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
