# ================================================================================
# Inverse Physics Learning from Camera Projections - Experiment Results
# Target: E*=400, nu=0.4, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# ================================================================================

## SECTION 1: Per-Epoch Training Data
task,method,epoch,loss,E_pred,E_abs_error,dL_dE_est,epoch_time_s,E_true,nu_true,N_particles,N_steps
Baseline_3D,FD,116,2.335940e-08,400.295929,0.295929,1.461514e-09,0.421,400.0,0.400,8192,64
Baseline_3D,FD,117,2.429101e-08,400.301086,0.301086,9.316050e-10,0.424,400.0,0.400,8192,64
Baseline_3D,FD,118,2.486349e-08,400.302673,0.302673,5.724790e-10,0.420,400.0,0.400,8192,64
Baseline_3D,FD,119,2.504633e-08,400.301025,0.301025,1.828422e-10,0.416,400.0,0.400,8192,64
Baseline_3D,FD,120,2.486918e-08,400.296448,0.296448,1.771472e-10,0.421,400.0,0.400,8192,64
Baseline_3D,FD,121,2.429135e-08,400.289246,0.289246,5.778364e-10,0.418,400.0,0.400,8192,64
Baseline_3D,FD,122,2.360487e-08,400.279755,0.279755,6.864731e-10,0.420,400.0,0.400,8192,64
Baseline_3D,FD,123,2.256515e-08,400.268311,0.268311,1.039727e-09,0.420,400.0,0.400,8192,64
Baseline_3D,FD,124,2.148156e-08,400.255188,0.255188,1.083587e-09,0.421,400.0,0.400,8192,64
Baseline_3D,FD,125,2.030446e-08,400.240692,0.240692,1.177105e-09,0.421,400.0,0.400,8192,64
Baseline_3D,FD,126,1.891118e-08,400.225067,0.225067,1.393273e-09,0.419,400.0,0.400,8192,64
Baseline_3D,FD,127,1.758779e-08,400.208618,0.208618,1.323395e-09,0.429,400.0,0.400,8192,64
Baseline_3D,FD,128,1.114567e-08,400.191589,0.191589,6.442114e-09,0.417,400.0,0.400,8192,64
Baseline_3D,FD,129,9.949814e-09,400.174255,0.174255,1.195859e-09,0.417,400.0,0.400,8192,64
Baseline_3D,FD,130,8.806599e-09,400.156860,0.156860,1.143215e-09,0.422,400.0,0.400,8192,64
Baseline_3D,FD,131,7.711616e-09,400.139496,0.139496,1.094983e-09,0.434,400.0,0.400,8192,64
Baseline_3D,FD,132,6.821623e-09,400.122437,0.122437,8.899934e-10,0.424,400.0,0.400,8192,64
Baseline_3D,FD,133,2.783300e-09,400.105865,0.105865,4.038323e-09,0.416,400.0,0.400,8192,64
Baseline_3D,FD,134,2.096336e-09,400.089996,0.089996,6.869643e-10,0.429,400.0,0.400,8192,64
Baseline_3D,FD,135,1.499101e-09,400.074921,0.074921,5.972347e-10,0.423,400.0,0.400,8192,64
Baseline_3D,FD,136,1.036758e-09,400.060791,0.060791,4.623431e-10,0.426,400.0,0.400,8192,64
Baseline_3D,FD,137,6.669394e-10,400.047668,0.047668,3.698186e-10,0.439,400.0,0.400,8192,64
Baseline_3D,FD,138,4.127458e-10,400.035614,0.035614,2.541936e-10,0.417,400.0,0.400,8192,64
Baseline_3D,FD,139,2.420755e-10,400.024689,0.024689,1.706703e-10,0.435,400.0,0.400,8192,64
Baseline_3D,FD,140,1.241827e-10,400.014954,0.014954,1.178928e-10,0.427,400.0,0.400,8192,64
Baseline_3D,FD,141,4.989782e-11,400.006378,0.006378,7.428486e-11,0.413,400.0,0.400,8192,64
Baseline_3D,FD,142,2.281636e-11,399.998962,0.001038,2.708146e-11,0.434,400.0,0.400,8192,64
Baseline_3D,FD,143,2.001102e-11,399.992737,0.007263,2.805341e-12,0.420,400.0,0.400,8192,64
Baseline_3D,FD,144,3.087506e-11,399.987610,0.012390,1.086404e-11,0.417,400.0,0.400,8192,64
Baseline_3D,FD,145,5.726962e-11,399.983582,0.016418,2.639456e-11,0.416,400.0,0.400,8192,64
Baseline_3D,FD,146,8.045912e-11,399.980591,0.019409,2.318950e-11,0.419,400.0,0.400,8192,64
Baseline_3D,FD,147,1.067046e-10,399.978607,0.021393,2.624546e-11,0.423,400.0,0.400,8192,64
Baseline_3D,FD,148,1.217093e-10,399.977539,0.022461,1.500470e-11,0.413,400.0,0.400,8192,64
Baseline_3D,FD,149,1.306026e-10,399.977325,0.022675,8.893303e-12,0.415,400.0,0.400,8192,64
Baseline_3D,FD,150,1.282831e-10,399.977875,0.022125,2.319533e-12,0.414,400.0,0.400,8192,64
Baseline_3D,FD,151,1.304830e-10,399.979126,0.020874,2.199907e-12,0.427,400.0,0.400,8192,64
Baseline_3D,FD,152,1.097079e-10,399.980988,0.019012,2.077502e-11,0.426,400.0,0.400,8192,64
Baseline_3D,FD,153,1.028606e-10,399.983337,0.016663,6.847384e-12,0.417,400.0,0.400,8192,64
Baseline_3D,FD,154,8.284654e-11,399.986176,0.013824,2.001402e-11,0.414,400.0,0.400,8192,64
Baseline_3D,FD,155,6.471457e-11,399.989380,0.010620,1.813196e-11,0.420,400.0,0.400,8192,64
Baseline_3D,FD,156,4.427169e-11,399.992859,0.007141,2.044289e-11,0.415,400.0,0.400,8192,64
Baseline_3D,FD,157,3.426349e-11,399.996552,0.003448,1.000820e-11,0.429,400.0,0.400,8192,64
Baseline_3D,FD,158,2.207170e-11,400.000397,0.000397,1.219179e-11,0.417,400.0,0.400,8192,64
Baseline_3D,FD,159,2.037083e-11,400.004303,0.004303,1.700869e-12,0.416,400.0,0.400,8192,64
Baseline_3D,FD,160,1.998988e-11,400.008270,0.008270,3.809453e-13,0.418,400.0,0.400,8192,64
